source_gene_symbol	source_gene_symbol	target_gene_symbol	value
HSPA8	HSPA8	CDC20	0.62230710466
PCNA	PCNA	CDC20	0.633002291826
HSPB1	HSPB1	CDC20	-0.68525592055
SNAP25	SNAP25	CDC20	-0.233919022154
SQSTM1	SQSTM1	CDC20	-0.515966386555
TLR4	TLR4	CDC20	0.109854851031
BTK	BTK	CDC20	-0.365317035905
GNAS	GNAS	CDC20	-0.00106951871658
LSM5	LSM5	CDC20	0.520550038197
PNP	PNP	CDC20	0.84385026738
IFRD2	IFRD2	CDC20	0.776012223071
DDIT4	DDIT4	CDC20	0.102521008403
TSC22D3	TSC22D3	CDC20	-0.464629488159
CREG1	CREG1	CDC20	-0.562414056532
TES	TES	CDC20	-0.557830404889
CTSD	CTSD	CDC20	-0.789457601222
TXNRD1	TXNRD1	CDC20	-0.562108479756
TRIB3	TRIB3	CDC20	-0.545301757066
TUBB6	TUBB6	CDC20	0.723147440794
GAPDH	GAPDH	CDC20	-0.445989304813
VDAC1	VDAC1	SQSTM1	-0.0414056531704
DNAJA3	DNAJA3	SQSTM1	0.36256684492
ACLY	ACLY	SQSTM1	-0.299312452254
APP	APP	SQSTM1	0.804125286478
HSPA8	HSPA8	SQSTM1	-0.412987012987
PCNA	PCNA	SQSTM1	-0.381207028266
HSPB1	HSPB1	SQSTM1	0.797402597403
SNAP25	SNAP25	SQSTM1	-0.176470588235
CDC20	CDC20	SQSTM1	-0.515966386555
TLR4	TLR4	SQSTM1	-0.230863254393
BTK	BTK	SQSTM1	-0.217723453018
GNAS	GNAS	SQSTM1	0.515049656226
LSM5	LSM5	SQSTM1	-0.177387318564
PNP	PNP	SQSTM1	-0.539190221543
IFRD2	IFRD2	SQSTM1	-0.542857142857
DDIT4	DDIT4	SQSTM1	0.625362872422
TSC22D3	TSC22D3	SQSTM1	0.919022154316
CREG1	CREG1	SQSTM1	0.791291061879
TES	TES	SQSTM1	0.469213139801
CTSD	CTSD	SQSTM1	0.715202444614
TXNRD1	TXNRD1	SQSTM1	0.937662337662
TRIB3	TRIB3	SQSTM1	0.364094728801
TUBB6	TUBB6	SQSTM1	-0.34025974026
GAPDH	GAPDH	SQSTM1	0.687089381207
