gene_symbol	signature	value	drug	concentration	timepoint
LAMA3	dasatinib_10.0_24	-0.0168890906475	dasatinib	10.0	24
TES	dasatinib_0.04_24	-0.0302343408389	dasatinib	0.04	24
TES	dasatinib_0.12_24	-0.0481212171161	dasatinib	0.12	24
TES	dasatinib_0.37_24	-0.0367597817242	dasatinib	0.37	24
TES	dasatinib_1.11_24	-0.0390129780973	dasatinib	1.11	24
TES	dasatinib_3.33_24	-0.0634641514062	dasatinib	3.33	24
TES	dasatinib_10.0_24	0.0322472129172	dasatinib	10.0	24
GPATCH8	dasatinib_0.04_24	0.098322736226	dasatinib	0.04	24
GPATCH8	dasatinib_0.12_24	-0.00033150814585	dasatinib	0.12	24
GPATCH8	dasatinib_0.37_24	0.229820271554	dasatinib	0.37	24
GPATCH8	dasatinib_1.11_24	0.0449491396014	dasatinib	1.11	24
GPATCH8	dasatinib_3.33_24	0.0322123776986	dasatinib	3.33	24
GPATCH8	dasatinib_10.0_24	0.143834497236	dasatinib	10.0	24
TLR4	dasatinib_0.04_24	0.0122805537249	dasatinib	0.04	24
TLR4	dasatinib_0.12_24	0.121684692625	dasatinib	0.12	24
TLR4	dasatinib_0.37_24	-0.0296368651514	dasatinib	0.37	24
TLR4	dasatinib_1.11_24	0.0337209652282	dasatinib	1.11	24
TLR4	dasatinib_3.33_24	-0.0539827034316	dasatinib	3.33	24
TLR4	dasatinib_10.0_24	0.0305331466172	dasatinib	10.0	24
