source_gene_symbol	source_gene_symbol	target_gene_symbol	value
BIRC5	BIRC5	CREG1	-0.646305418719
CDC20	CDC20	CREG1	-0.691625615764
UBE2C	UBE2C	CREG1	-0.741871921182
LSM5	LSM5	CREG1	-0.654679802956
IFRD2	IFRD2	CREG1	-0.0975369458128
TSC22D3	TSC22D3	CREG1	0.806403940887
TCEAL4	TCEAL4	CREG1	0.766995073892
MUC1	MUC1	CREG1	0.823645320197
TOP2A	TOP2A	CREG1	-0.609359605911
DUSP6	DUSP6	CREG1	-0.160591133005
CAPN1	CAPN1	CREG1	0.753694581281
CCNB2	CCNB2	CREG1	-0.652709359606
TXNRD1	TXNRD1	CREG1	0.830541871921
TSPAN4	TSPAN4	CREG1	-0.15763546798
TUBB6	TUBB6	CREG1	-0.654679802956
FOSL1	FOSL1	CREG1	-0.559113300493
GAPDH	GAPDH	CREG1	0.770935960591
E2F2	E2F2	TCEAL4	-0.555172413793
RGS2	RGS2	TCEAL4	0.317733990148
ACLY	ACLY	TCEAL4	0.208374384236
APP	APP	TCEAL4	0.8039408867
CCNB1	CCNB1	TCEAL4	-0.673891625616
PCNA	PCNA	TCEAL4	-0.457142857143
HSPB1	HSPB1	TCEAL4	0.725123152709
BIRC5	BIRC5	TCEAL4	-0.809359605911
CDC20	CDC20	TCEAL4	-0.515270935961
UBE2C	UBE2C	TCEAL4	-0.668965517241
LSM5	LSM5	TCEAL4	-0.566995073892
IFRD2	IFRD2	TCEAL4	-0.0477832512315
TSC22D3	TSC22D3	TCEAL4	0.893103448276
CREG1	CREG1	TCEAL4	0.766995073892
MUC1	MUC1	TCEAL4	0.844827586207
TOP2A	TOP2A	TCEAL4	-0.748768472906
DUSP6	DUSP6	TCEAL4	0.0793103448276
CAPN1	CAPN1	TCEAL4	0.860591133005
CCNB2	CCNB2	TCEAL4	-0.699014778325
TXNRD1	TXNRD1	TCEAL4	0.876354679803
TSPAN4	TSPAN4	TCEAL4	-0.223645320197
TUBB6	TUBB6	TCEAL4	-0.648768472906
FOSL1	FOSL1	TCEAL4	-0.792610837438
GAPDH	GAPDH	TCEAL4	0.486699507389
E2F2	E2F2	MUC1	-0.448768472906
RGS2	RGS2	MUC1	0.526600985222
ACLY	ACLY	MUC1	0.275862068966
APP	APP	MUC1	0.722167487685
CCNB1	CCNB1	MUC1	-0.647783251232
PCNA	PCNA	MUC1	-0.535960591133
HSPB1	HSPB1	MUC1	0.775369458128
BIRC5	BIRC5	MUC1	-0.705418719212
CDC20	CDC20	MUC1	-0.671428571429
UBE2C	UBE2C	MUC1	-0.712807881773
LSM5	LSM5	MUC1	-0.731034482759
IFRD2	IFRD2	MUC1	-0.121674876847
TSC22D3	TSC22D3	MUC1	0.83645320197
CREG1	CREG1	MUC1	0.823645320197
TCEAL4	TCEAL4	MUC1	0.844827586207
TOP2A	TOP2A	MUC1	-0.765024630542
DUSP6	DUSP6	MUC1	0.0615763546798
CAPN1	CAPN1	MUC1	0.935960591133
CCNB2	CCNB2	MUC1	-0.758620689655
TXNRD1	TXNRD1	MUC1	0.791133004926
TSPAN4	TSPAN4	MUC1	-0.218226600985
TUBB6	TUBB6	MUC1	-0.745812807882
FOSL1	FOSL1	MUC1	-0.708374384236
GAPDH	GAPDH	MUC1	0.571428571429
E2F2	E2F2	TOP2A	0.256650246305
RGS2	RGS2	TOP2A	-0.441871921182
ACLY	ACLY	TOP2A	0.0812807881773
APP	APP	TOP2A	-0.574384236453
CCNB1	CCNB1	TOP2A	0.784729064039
PCNA	PCNA	TOP2A	0.772906403941
HSPB1	HSPB1	TOP2A	-0.612807881773
BIRC5	BIRC5	TOP2A	0.856157635468
CDC20	CDC20	TOP2A	0.575369458128
UBE2C	UBE2C	TOP2A	0.797044334975
LSM5	LSM5	TOP2A	0.691625615764
IFRD2	IFRD2	TOP2A	0.352709359606
TSC22D3	TSC22D3	TOP2A	-0.70197044335
CREG1	CREG1	TOP2A	-0.609359605911
TCEAL4	TCEAL4	TOP2A	-0.748768472906
MUC1	MUC1	TOP2A	-0.765024630542
DUSP6	DUSP6	TOP2A	-0.402955665025
CAPN1	CAPN1	TOP2A	-0.792610837438
CCNB2	CCNB2	TOP2A	0.844334975369
TXNRD1	TXNRD1	TOP2A	-0.654679802956
TSPAN4	TSPAN4	TOP2A	0.571428571429
TUBB6	TUBB6	TOP2A	0.811330049261
FOSL1	FOSL1	TOP2A	0.715763546798
GAPDH	GAPDH	TOP2A	-0.215270935961
E2F2	E2F2	DUSP6	0.196551724138
RGS2	RGS2	DUSP6	-0.0325123152709
ACLY	ACLY	DUSP6	-0.409359605911
APP	APP	DUSP6	-0.0975369458128
CCNB1	CCNB1	DUSP6	-0.326600985222
PCNA	PCNA	DUSP6	-0.571921182266
HSPB1	HSPB1	DUSP6	-0.0541871921182
BIRC5	BIRC5	DUSP6	-0.39802955665
CDC20	CDC20	DUSP6	0.0108374384236
UBE2C	UBE2C	DUSP6	-0.208374384236
LSM5	LSM5	DUSP6	-0.183251231527
IFRD2	IFRD2	DUSP6	-0.466009852217
TSC22D3	TSC22D3	DUSP6	-0.00738916256158
CREG1	CREG1	DUSP6	-0.160591133005
TCEAL4	TCEAL4	DUSP6	0.0793103448276
MUC1	MUC1	DUSP6	0.0615763546798
TOP2A	TOP2A	DUSP6	-0.402955665025
CAPN1	CAPN1	DUSP6	0.164532019704
CCNB2	CCNB2	DUSP6	-0.345320197044
TXNRD1	TXNRD1	DUSP6	-0.0591133004926
TSPAN4	TSPAN4	DUSP6	-0.370443349754
TUBB6	TUBB6	DUSP6	-0.286206896552
FOSL1	FOSL1	DUSP6	-0.193596059113
GAPDH	GAPDH	DUSP6	-0.359113300493
E2F2	E2F2	CAPN1	-0.474384236453
RGS2	RGS2	CAPN1	0.427586206897
ACLY	ACLY	CAPN1	0.166009852217
APP	APP	CAPN1	0.739408866995
CCNB1	CCNB1	CAPN1	-0.687684729064
PCNA	PCNA	CAPN1	-0.600492610837
HSPB1	HSPB1	CAPN1	0.716256157635
BIRC5	BIRC5	CAPN1	-0.76354679803
CDC20	CDC20	CAPN1	-0.522660098522
UBE2C	UBE2C	CAPN1	-0.704433497537
LSM5	LSM5	CAPN1	-0.688669950739
IFRD2	IFRD2	CAPN1	-0.177832512315
TSC22D3	TSC22D3	CAPN1	0.849753694581
CREG1	CREG1	CAPN1	0.753694581281
TCEAL4	TCEAL4	CAPN1	0.860591133005
MUC1	MUC1	CAPN1	0.935960591133
TOP2A	TOP2A	CAPN1	-0.792610837438
DUSP6	DUSP6	CAPN1	0.164532019704
CCNB2	CCNB2	CAPN1	-0.801477832512
TXNRD1	TXNRD1	CAPN1	0.77881773399
TSPAN4	TSPAN4	CAPN1	-0.27881773399
TUBB6	TUBB6	CAPN1	-0.750246305419
FOSL1	FOSL1	CAPN1	-0.73645320197
GAPDH	GAPDH	CAPN1	0.518719211823
E2F2	E2F2	CCNB2	0.240886699507
RGS2	RGS2	CCNB2	-0.36157635468
ACLY	ACLY	CCNB2	0.17881773399
APP	APP	CCNB2	-0.710344827586
CCNB1	CCNB1	CCNB2	0.712807881773
PCNA	PCNA	CCNB2	0.833497536946
HSPB1	HSPB1	CCNB2	-0.701477832512
BIRC5	BIRC5	CCNB2	0.843349753695
CDC20	CDC20	CCNB2	0.494088669951
UBE2C	UBE2C	CCNB2	0.875369458128
LSM5	LSM5	CCNB2	0.555172413793
IFRD2	IFRD2	CCNB2	0.379802955665
TSC22D3	TSC22D3	CCNB2	-0.704926108374
CREG1	CREG1	CCNB2	-0.652709359606
TCEAL4	TCEAL4	CCNB2	-0.699014778325
MUC1	MUC1	CCNB2	-0.758620689655
TOP2A	TOP2A	CCNB2	0.844334975369
DUSP6	DUSP6	CCNB2	-0.345320197044
CAPN1	CAPN1	CCNB2	-0.801477832512
TXNRD1	TXNRD1	CCNB2	-0.646798029557
TSPAN4	TSPAN4	CCNB2	0.545320197044
TUBB6	TUBB6	CCNB2	0.812315270936
FOSL1	FOSL1	CCNB2	0.708374384236
GAPDH	GAPDH	CCNB2	-0.37881773399
E2F2	E2F2	TXNRD1	-0.49802955665
RGS2	RGS2	TXNRD1	0.515763546798
ACLY	ACLY	TXNRD1	0.334975369458
APP	APP	TXNRD1	0.795073891626
CCNB1	CCNB1	TXNRD1	-0.587192118227
PCNA	PCNA	TXNRD1	-0.333990147783
HSPB1	HSPB1	TXNRD1	0.793596059113
BIRC5	BIRC5	TXNRD1	-0.713793103448
CDC20	CDC20	TXNRD1	-0.464532019704
UBE2C	UBE2C	TXNRD1	-0.56354679803
LSM5	LSM5	TXNRD1	-0.512315270936
IFRD2	IFRD2	TXNRD1	-0.0118226600985
TSC22D3	TSC22D3	TXNRD1	0.90197044335
CREG1	CREG1	TXNRD1	0.830541871921
TCEAL4	TCEAL4	TXNRD1	0.876354679803
MUC1	MUC1	TXNRD1	0.791133004926
TOP2A	TOP2A	TXNRD1	-0.654679802956
DUSP6	DUSP6	TXNRD1	-0.0591133004926
CAPN1	CAPN1	TXNRD1	0.77881773399
CCNB2	CCNB2	TXNRD1	-0.646798029557
TSPAN4	TSPAN4	TXNRD1	-0.107389162562
TUBB6	TUBB6	TXNRD1	-0.588669950739
FOSL1	FOSL1	TXNRD1	-0.744827586207
GAPDH	GAPDH	TXNRD1	0.583743842365
E2F2	E2F2	TSPAN4	0.0699507389163
RGS2	RGS2	TSPAN4	-0.174876847291
ACLY	ACLY	TSPAN4	0.540886699507
APP	APP	TSPAN4	-0.23645320197
CCNB1	CCNB1	TSPAN4	0.439901477833
PCNA	PCNA	TSPAN4	0.632512315271
HSPB1	HSPB1	TSPAN4	-0.199507389163
BIRC5	BIRC5	TSPAN4	0.48078817734
CDC20	CDC20	TSPAN4	0.360591133005
UBE2C	UBE2C	TSPAN4	0.64039408867
LSM5	LSM5	TSPAN4	0.48078817734
IFRD2	IFRD2	TSPAN4	0.543349753695
TSC22D3	TSC22D3	TSPAN4	-0.139408866995
CREG1	CREG1	TSPAN4	-0.15763546798
TCEAL4	TCEAL4	TSPAN4	-0.223645320197
MUC1	MUC1	TSPAN4	-0.218226600985
TOP2A	TOP2A	TSPAN4	0.571428571429
DUSP6	DUSP6	TSPAN4	-0.370443349754
CAPN1	CAPN1	TSPAN4	-0.27881773399
CCNB2	CCNB2	TSPAN4	0.545320197044
TXNRD1	TXNRD1	TSPAN4	-0.107389162562
TUBB6	TUBB6	TSPAN4	0.646798029557
FOSL1	FOSL1	TSPAN4	0.188177339901
GAPDH	GAPDH	TSPAN4	0.104926108374
E2F2	E2F2	TUBB6	0.364039408867
RGS2	RGS2	TUBB6	-0.567487684729
ACLY	ACLY	TUBB6	0.177832512315
APP	APP	TUBB6	-0.580295566502
CCNB1	CCNB1	TUBB6	0.712807881773
PCNA	PCNA	TUBB6	0.730541871921
HSPB1	HSPB1	TUBB6	-0.630541871921
BIRC5	BIRC5	TUBB6	0.770443349754
CDC20	CDC20	TUBB6	0.588177339901
