gene_symbol	signature	value	drug	concentration	timepoint
IFRD2	neratinib_0.37_3	0.213818256022	neratinib	0.37	3
IFRD2	neratinib_1.11_3	-0.000874645055852	neratinib	1.11	3
IFRD2	neratinib_3.33_3	-0.0639348209982	neratinib	3.33	3
IFRD2	neratinib_10.0_3	0.190072027106	neratinib	10.0	3
IFRD2	neratinib_0.12_24	-0.133174324235	neratinib	0.12	24
IFRD2	neratinib_1.11_24	-0.125704547545	neratinib	1.11	24
IFRD2	neratinib_3.33_24	-0.119981741983	neratinib	3.33	24
IFRD2	neratinib_10.0_24	-0.0836810150877	neratinib	10.0	24
LSM5	neratinib_0.04_3	0.0211519573798	neratinib	0.04	3
LSM5	neratinib_0.12_3	-0.283857666828	neratinib	0.12	3
LSM5	neratinib_0.37_3	-0.0731028868822	neratinib	0.37	3
LSM5	neratinib_1.11_3	-0.128186129712	neratinib	1.11	3
LSM5	neratinib_3.33_3	-0.113693772012	neratinib	3.33	3
LSM5	neratinib_10.0_3	0.0423873481799	neratinib	10.0	3
LSM5	neratinib_0.12_24	-0.0280487114865	neratinib	0.12	24
LSM5	neratinib_1.11_24	-0.028197274466	neratinib	1.11	24
LSM5	neratinib_3.33_24	-0.0374269099755	neratinib	3.33	24
LSM5	neratinib_10.0_24	-0.0558529019484	neratinib	10.0	24
PCNA	neratinib_0.04_3	0.163953834715	neratinib	0.04	3
PCNA	neratinib_0.12_3	-0.320949315783	neratinib	0.12	3
PCNA	neratinib_0.37_3	0.117761353953	neratinib	0.37	3
PCNA	neratinib_1.11_3	0.0298500612989	neratinib	1.11	3
PCNA	neratinib_3.33_3	-0.482423465405	neratinib	3.33	3
PCNA	neratinib_10.0_3	0.118735674573	neratinib	10.0	3
PCNA	neratinib_0.12_24	-0.187302201106	neratinib	0.12	24
PCNA	neratinib_1.11_24	-0.159902969055	neratinib	1.11	24
PCNA	neratinib_3.33_24	-0.13991492796	neratinib	3.33	24
PCNA	neratinib_10.0_24	-0.173476183557	neratinib	10.0	24
PNP	neratinib_0.04_3	-0.032794184682	neratinib	0.04	3
PNP	neratinib_0.12_3	-0.0523480060147	neratinib	0.12	3
PNP	neratinib_0.37_3	-0.0683308478694	neratinib	0.37	3
PNP	neratinib_1.11_3	-0.0630210796927	neratinib	1.11	3
PNP	neratinib_3.33_3	-0.0175235831715	neratinib	3.33	3
PNP	neratinib_10.0_3	-0.0444569816167	neratinib	10.0	3
PNP	neratinib_0.12_24	-0.109521402347	neratinib	0.12	24
PNP	neratinib_1.11_24	-0.111750328191	neratinib	1.11	24
PNP	neratinib_3.33_24	-0.115831535586	neratinib	3.33	24
PNP	neratinib_10.0_24	-0.104802286584	neratinib	10.0	24
SNAP25	neratinib_0.04_3	-0.0793329713945	neratinib	0.04	3
SNAP25	neratinib_0.12_3	-0.0839992666733	neratinib	0.12	3
SNAP25	neratinib_0.37_3	-0.0591809565062	neratinib	0.37	3
SNAP25	neratinib_1.11_3	-0.133298566386	neratinib	1.11	3
SNAP25	neratinib_3.33_3	-0.0708783534821	neratinib	3.33	3
SNAP25	neratinib_10.0_3	0.0459495208663	neratinib	10.0	3
SNAP25	neratinib_0.12_24	-0.0992700545834	neratinib	0.12	24
SNAP25	neratinib_1.11_24	-0.0809437224178	neratinib	1.11	24
SNAP25	neratinib_3.33_24	-0.0589552326353	neratinib	3.33	24
SNAP25	neratinib_10.0_24	-0.0464448732003	neratinib	10.0	24
SQSTM1	neratinib_0.04_3	0.00284010071052	neratinib	0.04	3
SQSTM1	neratinib_0.12_3	0.00954275401503	neratinib	0.12	3
SQSTM1	neratinib_0.37_3	0.00514335929133	neratinib	0.37	3
SQSTM1	neratinib_1.11_3	-0.0104000550023	neratinib	1.11	3
SQSTM1	neratinib_3.33_3	-0.00690526554411	neratinib	3.33	3
SQSTM1	neratinib_10.0_3	0.0106773743304	neratinib	10.0	3
SQSTM1	neratinib_0.12_24	0.106244543669	neratinib	0.12	24
SQSTM1	neratinib_1.11_24	0.194667897417	neratinib	1.11	24
SQSTM1	neratinib_3.33_24	0.216819238371	neratinib	3.33	24
SQSTM1	neratinib_10.0_24	0.235481492162	neratinib	10.0	24
TES	neratinib_0.04_3	-0.189100935935	neratinib	0.04	3
TES	neratinib_0.12_3	-0.0324637968615	neratinib	0.12	3
TES	neratinib_0.37_3	0.0375213494926	neratinib	0.37	3
TES	neratinib_1.11_3	0.0804798473673	neratinib	1.11	3
TES	neratinib_3.33_3	-0.157838182488	neratinib	3.33	3
TES	neratinib_10.0_3	-0.202519822461	neratinib	10.0	3
TES	neratinib_0.12_24	-0.0247889608316	neratinib	0.12	24
TES	neratinib_1.11_24	0.00562932478443	neratinib	1.11	24
TES	neratinib_3.33_24	0.0158716653155	neratinib	3.33	24
TES	neratinib_10.0_24	0.024749998429	neratinib	10.0	24
TLR4	neratinib_0.04_3	-0.249863738184	neratinib	0.04	3
TLR4	neratinib_0.12_3	0.103389260207	neratinib	0.12	3
TLR4	neratinib_0.37_3	0.304771451534	neratinib	0.37	3
TLR4	neratinib_1.11_3	-0.0643291863598	neratinib	1.11	3
TLR4	neratinib_3.33_3	-0.206229475681	neratinib	3.33	3
TLR4	neratinib_10.0_3	0.052454547855	neratinib	10.0	3
TLR4	neratinib_0.12_24	0.0072960980657	neratinib	0.12	24
TLR4	neratinib_1.11_24	-0.00238249947034	neratinib	1.11	24
TLR4	neratinib_3.33_24	0.00357315734922	neratinib	3.33	24
TLR4	neratinib_10.0_24	0.00662637641589	neratinib	10.0	24
TRIB3	neratinib_0.04_3	-0.101094437876	neratinib	0.04	3
TRIB3	neratinib_0.12_3	-0.131989982072	neratinib	0.12	3
TRIB3	neratinib_0.37_3	0.066504209981	neratinib	0.37	3
TRIB3	neratinib_1.11_3	-0.224127906453	neratinib	1.11	3
TRIB3	neratinib_3.33_3	0.114725380898	neratinib	3.33	3
TRIB3	neratinib_10.0_3	-0.0267198983292	neratinib	10.0	3
TRIB3	neratinib_0.12_24	0.0062059318633	neratinib	0.12	24
TRIB3	neratinib_1.11_24	0.0680107922812	neratinib	1.11	24
TRIB3	neratinib_3.33_24	0.0704482264724	neratinib	3.33	24
TRIB3	neratinib_10.0_24	0.064101278535	neratinib	10.0	24
TSC22D3	neratinib_0.04_3	0.0165553211848	neratinib	0.04	3
